State,,Concerned,Slightly concerned,Somewhat anxious and/or scared,Totally fine,Very anxious and/or scared,Grand Total
AE,week1,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
AE,week2,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
AE,week3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AE,wekk4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AE,week5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AK,,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
AK,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AK,3,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
AK,4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AK,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,AL,27.27%,9.09%,54.55%,9.09%,0.00%,100.00%
,2,66.67%,0.00%,33.33%,0.00%,0.00%,100.00%
,3,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
,4,14.29%,14.29%,57.14%,14.29%,0.00%,100.00%
,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,AR,33.33%,16.67%,16.67%,0.00%,33.33%,100.00%
,2,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%
,3,33.33%,0.00%,33.33%,0.00%,33.33%,100.00%
,4,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
,5,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%
,AZ,36.36%,2.27%,38.64%,2.27%,20.45%,100.00%
,2,42.86%,0.00%,14.29%,0.00%,42.86%,100.00%
,3,37.50%,0.00%,37.50%,0.00%,25.00%,100.00%
,4,41.67%,8.33%,33.33%,0.00%,16.67%,100.00%
,5,29.41%,0.00%,52.94%,5.88%,11.76%,100.00%
,CA,30.84%,7.71%,35.97%,2.57%,22.91%,100.00%
,2,26.09%,6.52%,39.13%,4.35%,23.91%,100.00%
,3,34.91%,3.77%,39.62%,0.94%,20.75%,100.00%
,4,32.03%,5.47%,31.25%,1.56%,29.69%,100.00%
,5,31.58%,16.84%,33.68%,3.16%,14.74%,100.00%
,CO,26.23%,8.20%,47.54%,1.64%,16.39%,100.00%
,2,35.00%,5.00%,50.00%,0.00%,10.00%,100.00%
,3,0.00%,0.00%,62.50%,0.00%,37.50%,100.00%
,4,28.57%,9.52%,42.86%,4.76%,14.29%,100.00%
,5,25.00%,16.67%,41.67%,0.00%,16.67%,100.00%
,CT,22.95%,8.20%,42.62%,3.28%,22.95%,100.00%
,2,10.00%,20.00%,60.00%,0.00%,10.00%,100.00%
,3,25.00%,0.00%,33.33%,0.00%,41.67%,100.00%
,4,22.22%,0.00%,44.44%,5.56%,27.78%,100.00%
,5,28.57%,14.29%,38.10%,4.76%,14.29%,100.00%
,DC,28.13%,6.25%,40.63%,0.00%,25.00%,100.00%
,2,36.84%,5.26%,42.11%,0.00%,15.79%,100.00%
,3,15.38%,7.69%,38.46%,0.00%,38.46%,100.00%
,4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,DE,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%
,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,4,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
,5,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%
,FL,42.72%,8.74%,30.10%,2.91%,15.53%,100.00%
,2,46.67%,0.00%,40.00%,0.00%,13.33%,100.00%
,3,42.86%,14.29%,21.43%,7.14%,14.29%,100.00%
,4,40.00%,7.50%,37.50%,0.00%,15.00%,100.00%
,5,44.12%,11.76%,20.59%,5.88%,17.65%,100.00%
,GA,20.69%,1.72%,56.90%,0.00%,20.69%,100.00%
,2,20.00%,0.00%,50.00%,0.00%,30.00%,100.00%
,3,22.22%,0.00%,66.67%,0.00%,11.11%,100.00%
,4,13.04%,4.35%,60.87%,0.00%,21.74%,100.00%
,5,31.25%,0.00%,50.00%,0.00%,18.75%,100.00%
,HI,50.00%,0.00%,40.00%,0.00%,10.00%,100.00%
,2,40.00%,0.00%,40.00%,0.00%,20.00%,100.00%
,3,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
